Програма/проєкт,Період,"""Громада з нуля""","""Навчання з надання послуг і управління інфраструктурою на місцевому рівні""","""Навчання загального управлінського характеру""",Кількість учасників навчання (осіб),Цільові групи учасників навчання ,"Кількість тергромад, для яких було проведене навчання",Назва навчання
EGOV4UKRAINE,4 квартал 2020,,Адміністративні послуги,,95,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня",62,Електронна заява на підключення   до ІС «Вулик». Звітність в ІС «Вулик»
EGOV4UKRAINE,4 квартал 2020,,Адміністративні послуги,,81,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня",68,Огляд функціоналу ролі інтегратора в ІС «Вулик»
EGOV4UKRAINE,4 квартал 2020,,Адміністративні послуги,,55,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня",51,"Оновлення ІС «Вулик». Організаційні, технічні та комунікаційні питання"
EGOV4UKRAINE,4 квартал 2020,,Адміністративні послуги,,92,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня",67,Підсумки роботи ІС «Вулик» за 2020 рік
"Програма ""U-LEAD з Європою""",4 квартал 2020,,Освіта,,92,"Посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування",73,Формування органу управління освітою у новостворених громадах областей Західного хабу (Онлайн)
"Програма ""U-LEAD з Європою""",4 квартал 2020,,,Управління місцевим соціально-економічним розвитком,108,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",71,"Формування органу управління освітою у новостворених громадах для представників Донецької, Луганської, Полтавської, Сумської, Харківської, Черкаської областей. ОНЛАЙН"
"Програма ""U-LEAD з Європою""",4 квартал 2020,,Освіта,,94,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, заклади освіти",70,Онлайн: Забезпечення якості освіти в умовах змішаного або дистанційного навчання у громадах 6ти областей Західного Хабу
"Програма ""U-LEAD з Європою""",4 квартал 2020,,,Управління місцевим соціально-економічним розвитком,90,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",63,"Інформаційна сесія щодо конкурсу проєктів від Програми «U-LEAD з Європою» серед територіальних громад України «Волонтерство в громаді» для громад Вінницької, Житомирської, Київської, Хмельницької, Чернівецької та Чернігівської областей (онлайн)"
"Програма ""U-LEAD з Європою""",4 квартал 2020,,,Управління місцевим соціально-економічним розвитком,80,"Посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування",58,"Інформаційна сесія конкурсу проєктів серед територіальних громад України «Волонтерство в громаді» від Програми «U-LEAD з Європою» (Донецька, Луганська, Полтавська, Сумська, Черкастка, Харківська області, ОНЛАЙН)"
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,113,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",55,Перші кроки: забезпечення виконання бюджетів до кінця бюджетного періоду та підготовка проєкту бюджету на 2021 рік для Харківської та Черкаської областей. ОНЛАЙН 
