Область,Тергромада,Програма-проєкт МТД,Тематика,Кількість
Вінницька,Могилів-Подільська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,3
Вінницька,Стрижавська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,8
Вінницька,Дашівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Вінницька,Соболівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,9
Вінницька,Бабчинецька,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,4
Вінницька,Чечельницька,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Мурованокуриловецька,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,4
Вінницька,Жданівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Вінницька,Райгородська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Вендичанська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Волинська,Устилузька,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,7
Волинська,Павлівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Волинська,Цуманська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,3
Волинська,Дубівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Волинська,Поворська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,9
Волинська,Торчинська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,4
Волинська,Боратинська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,7
Волинська,Вишнівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,4
Волинська,Прилісненська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Волинська,Шацька,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,3
Волинська,Луцька,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Волинська,Турійська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,5
Волинська,Любешівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Волинська,Затурцівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Волинська,Нововолинська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
