Область,Тергромада,Програма-проєкт МТД,Тематика,Кількість
Івано-Франківська,Тлумацька,"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Полтавська,Пирятинська,"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Сумська,Шалигинська,"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Сумська,Березівська,"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Волинська,Нововолинська,"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",Навчання загального управлінського характеру,1
Дніпропетровська,Підгородненська,"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",Навчання загального управлінського характеру,1
Запорізька,Дніпрорудненська,"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",Навчання загального управлінського характеру,1
Київська,Димерська,"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",Навчання загального управлінського характеру,1
Дніпропетровська,Васильківська,"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",Навчання загального управлінського характеру,1
Дніпропетровська,Верхівцівська,"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",Навчання загального управлінського характеру,1
Полтавська,Опішнянська,"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",Навчання загального управлінського характеру,1
Київська,Баришівська,"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",Навчання загального управлінського характеру,1
Київська,Томашівська,"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",Навчання загального управлінського характеру,1
Тернопільська,Золотопотіцька,"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",Навчання загального управлінського характеру,1
Миколаївська,Галицинівська,"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",Навчання загального управлінського характеру,1
Хмельницька,Ярмолинецька,"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",Навчання загального управлінського характеру,1
Харківська,Краснокутська,"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",Навчання загального управлінського характеру,1
Кіровоградська,Надлацька,"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",Навчання загального управлінського характеру,1
Дніпропетровська,Перещепинська,"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",Навчання загального управлінського характеру,1
Харківська,Мереф’янська,"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",Навчання загального управлінського характеру,1
Миколаївська,Вознесенська,"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",Навчання загального управлінського характеру,1
Тернопільська,Бережанська,"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",Навчання загального управлінського характеру,1
Львівська,Пустомитівська,"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",Навчання загального управлінського характеру,1
Житомирська,Радомишльська,"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",Навчання загального управлінського характеру,1
Полтавська,Карлівська,"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",Навчання загального управлінського характеру,1
Дніпропетровська,Зеленодольська,"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",Навчання загального управлінського характеру,1
Львівська,Червоноградська,"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",Навчання загального управлінського характеру,1
Чернівецька,Хотинська,"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",Навчання загального управлінського характеру,1
Київська,Бишівська,"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",Навчання загального управлінського характеру,1
Хмельницька,Маківська,"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",Навчання загального управлінського характеру,1
Івано-Франківська,Солотвинська,"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",Навчання загального управлінського характеру,1
Херсонська,Новотроїцька,"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",Навчання загального управлінського характеру,1
Луганська,Новопсковська,"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",Навчання загального управлінського характеру,1
Харківська,Близнюківська,"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",Навчання загального управлінського характеру,1
Волинська,Торчинська,"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",Навчання загального управлінського характеру,1
Черкаська,Паланська,"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",Навчання загального управлінського характеру,1
Івано-Франківська,Букачівська,"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",Навчання загального управлінського характеру,1
Сумська,Новослобідська,"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",Навчання загального управлінського характеру,1
Вінницька,Жданівська,"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",Навчання загального управлінського характеру,1
Чернігівська,Яблунівська,"Проєкт ""Підтримка децентралізації в Україні - Фаза ІІ"" (SKL)",Навчання загального управлінського характеру,1
Миколаївська,Березанська,"Проєкт ""Підтримка децентралізації в Україні - Фаза ІІ"" (SKL)",Навчання загального управлінського характеру,1
Черкаська,Білозірська,"Проєкт ""Підтримка децентралізації в Україні - Фаза ІІ"" (SKL)",Навчання загального управлінського характеру,1
Житомирська,Білокоровицька,"Проєкт ""Підтримка децентралізації в Україні - Фаза ІІ"" (SKL)",Навчання загального управлінського характеру,1
Чернігівська,Борзнянська,"Проєкт ""Підтримка децентралізації в Україні - Фаза ІІ"" (SKL)",Навчання загального управлінського характеру,1
Дніпропетровська,Вакулівська,"Проєкт ""Підтримка децентралізації в Україні - Фаза ІІ"" (SKL)",Навчання загального управлінського характеру,1
Кіровоградська,Великосеверинівська,"Проєкт ""Підтримка децентралізації в Україні - Фаза ІІ"" (SKL)",Навчання загального управлінського характеру,1
Київська,Гатненська,"Проєкт ""Підтримка децентралізації в Україні - Фаза ІІ"" (SKL)",Навчання загального управлінського характеру,1
Полтавська,Глобинська,"Проєкт ""Підтримка децентралізації в Україні - Фаза ІІ"" (SKL)",Навчання загального управлінського характеру,1
Волинська,Ківерцівська,Програма Ради Європи «Децентралізація і реформа публічної адміністрації в Україні»,Навчання загального управлінського характеру,1
Волинська,Олицька,Програма Ради Європи «Децентралізація і реформа публічної адміністрації в Україні»,Навчання загального управлінського характеру,4
Волинська,Цуманська,Програма Ради Європи «Децентралізація і реформа публічної адміністрації в Україні»,Навчання загального управлінського характеру,6
Волинська,Голобська,Програма Ради Європи «Децентралізація і реформа публічної адміністрації в Україні»,Навчання загального управлінського характеру,2
Волинська,Велицька,Програма Ради Європи «Децентралізація і реформа публічної адміністрації в Україні»,Навчання загального управлінського характеру,3
Волинська,Дубівська,Програма Ради Європи «Децентралізація і реформа публічної адміністрації в Україні»,Навчання загального управлінського характеру,4
Волинська,Колодяжненська,Програма Ради Європи «Децентралізація і реформа публічної адміністрації в Україні»,Навчання загального управлінського характеру,2
Волинська,Поворська,Програма Ради Європи «Децентралізація і реформа публічної адміністрації в Україні»,Навчання загального управлінського характеру,2
Волинська,Локачинська,Програма Ради Європи «Децентралізація і реформа публічної адміністрації в Україні»,Навчання загального управлінського характеру,2
Волинська,Затурцівська,Програма Ради Європи «Децентралізація і реформа публічної адміністрації в Україні»,Навчання загального управлінського характеру,3
Волинська,Боратинська,Програма Ради Європи «Децентралізація і реформа публічної адміністрації в Україні»,Навчання загального управлінського характеру,2
Волинська,Городищенська,Програма Ради Європи «Децентралізація і реформа публічної адміністрації в Україні»,Навчання загального управлінського характеру,4
Волинська,Любешівська,Програма Ради Європи «Децентралізація і реформа публічної адміністрації в Україні»,Навчання загального управлінського характеру,6
