Область,Тергромада,Програма-проєкт МТД,Тематика,Кількість
Дніпропетровська,Покровська,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання загального управлінського характеру,5
Дніпропетровська,Апостолівська,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання загального управлінського характеру,7
Дніпропетровська,Зеленодольська,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання загального управлінського характеру,1
Дніпропетровська,Васильківська,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання загального управлінського характеру,2
Дніпропетровська,Миколаївська,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання загального управлінського характеру,1
Дніпропетровська,Піщанська,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання загального управлінського характеру,1
Дніпропетровська,Петриківська,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання загального управлінського характеру,4
Дніпропетровська,Мирівська,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання загального управлінського характеру,6
Дніпропетровська,Царичанська,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання загального управлінського характеру,6
Дніпропетровська,Могилівська,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання загального управлінського характеру,3
Дніпропетровська,Гречаноподівська,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання загального управлінського характеру,4
Дніпропетровська,Новоолександрівська,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання загального управлінського характеру,4
Дніпропетровська,Слобожанська,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання загального управлінського характеру,3
Дніпропетровська,Софіївська,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання загального управлінського характеру,7
Дніпропетровська,Миколаївська,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання загального управлінського характеру,3
Запорізька,Веселівська,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання загального управлінського характеру,7
Запорізька,Широківська,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання загального управлінського характеру,7
Запорізька,Комиш-Зорянська,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання загального управлінського характеру,8
Запорізька,Пологівська,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання загального управлінського характеру,8
Запорізька,Гуляйпільська,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання загального управлінського характеру,5
Запорізька,Пологівська,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Запорізька,Комиш-Зорянська,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
