Область,Тергромада,Програма-проєкт МТД,Тематика,Кількість
Вінницька,Іллінецька,Електронне урядування задля підзвітності влади та участі громади (EGAP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Волинська,Володимир-Волинська,Електронне урядування задля підзвітності влади та участі громади (EGAP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Волинська,Зимнівська,Електронне урядування задля підзвітності влади та участі громади (EGAP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Волинська,Вишнівська,Електронне урядування задля підзвітності влади та участі громади (EGAP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Волинська,Ковельська,Електронне урядування задля підзвітності влади та участі громади (EGAP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Волинська,Луцька,Електронне урядування задля підзвітності влади та участі громади (EGAP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Дніпропетровська,Солонянська,Електронне урядування задля підзвітності влади та участі громади (EGAP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Луганська,Сєвєродонецька,Електронне урядування задля підзвітності влади та участі громади (EGAP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Луганська,Біловодська,Електронне урядування задля підзвітності влади та участі громади (EGAP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Луганська,Новопсковська,Електронне урядування задля підзвітності влади та участі громади (EGAP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Одеська,Березівська,Електронне урядування задля підзвітності влади та участі громади (EGAP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,4
Одеська,Іванівська,Електронне урядування задля підзвітності влади та участі громади (EGAP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,3
Одеська,Миколаївська,Електронне урядування задля підзвітності влади та участі громади (EGAP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,4
Одеська,Ширяївська,Електронне урядування задля підзвітності влади та участі громади (EGAP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,3
Одеська,Білгород-Дністровська,Електронне урядування задля підзвітності влади та участі громади (EGAP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,4
Одеська,Саратська,Електронне урядування задля підзвітності влади та участі громади (EGAP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,4
Одеська,Татарбунарська,Електронне урядування задля підзвітності влади та участі громади (EGAP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,4
Одеська,Арцизька,Електронне урядування задля підзвітності влади та участі громади (EGAP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,4
Одеська,Болградська,Електронне урядування задля підзвітності влади та участі громади (EGAP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,4
Одеська,Тарутинська,Електронне урядування задля підзвітності влади та участі громади (EGAP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,4
Одеська,Ізмаїльська,Електронне урядування задля підзвітності влади та участі громади (EGAP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,4
Одеська,Кілійська,Електронне урядування задля підзвітності влади та участі громади (EGAP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,5
Одеська,Ренійська,Електронне урядування задля підзвітності влади та участі громади (EGAP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,4
Одеська,Біляївська,Електронне урядування задля підзвітності влади та участі громади (EGAP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,4
Одеська,Овідіопольська,Електронне урядування задля підзвітності влади та участі громади (EGAP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,4
Одеська,Одеська,Електронне урядування задля підзвітності влади та участі громади (EGAP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,4
Одеська,Теплодарська,Електронне урядування задля підзвітності влади та участі громади (EGAP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,4
Одеська,Чорноморська,Електронне урядування задля підзвітності влади та участі громади (EGAP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,4
Одеська,Южненська,Електронне урядування задля підзвітності влади та участі громади (EGAP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,4
Одеська,Ананьївська,Електронне урядування задля підзвітності влади та участі громади (EGAP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,4
Одеська,Балтська,Електронне урядування задля підзвітності влади та участі громади (EGAP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,4
Одеська,Кодимська,Електронне урядування задля підзвітності влади та участі громади (EGAP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,4
Одеська,Любашівська,Електронне урядування задля підзвітності влади та участі громади (EGAP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,4
Одеська,Окнянська,Електронне урядування задля підзвітності влади та участі громади (EGAP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,3
Одеська,Подільська,Електронне урядування задля підзвітності влади та участі громади (EGAP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,4
Одеська,Савранська,Електронне урядування задля підзвітності влади та участі громади (EGAP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,4
Одеська,Великомихайлівська,Електронне урядування задля підзвітності влади та участі громади (EGAP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,4
Одеська,Захарівська,Електронне урядування задля підзвітності влади та участі громади (EGAP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,4
Одеська,Лиманська,Електронне урядування задля підзвітності влади та участі громади (EGAP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,4
Одеська,Роздільнянська,Електронне урядування задля підзвітності влади та участі громади (EGAP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,3
