Область,Тергромада,Програма-проєкт МТД,Тематика,Кількість
Вінницька,Могилів-Подільська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,3
Вінницька,Стрижавська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,8
Вінницька,Дашівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Вінницька,Соболівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,9
Вінницька,Бабчинецька,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,4
Вінницька,Чечельницька,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Волинська,Устилузька,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,7
Волинська,Павлівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Волинська,Цуманська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,3
Волинська,Дубівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Волинська,Поворська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,9
Волинська,Торчинська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,4
Волинська,Боратинська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,7
Волинська,Вишнівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,4
Волинська,Прилісненська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Волинська,Шацька,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,3
Дніпропетровська,Обухівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Дніпропетровська,Червоногригорівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Дніпропетровська,Маломихайлівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Донецька,Костянтинівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Донецька,Покровська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Донецька,Новогродівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Житомирська,Новоград-Волинська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Житомирська,Любарська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,5
Житомирська,Овруцька,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,7
