Область,Тергромада,Програма-проєкт МТД,Тематика,Кількість
Донецька,Бахмутська,Програма ООН із відновлення та розбудови миру (UN RPP),Навчання загального управлінського характеру,2
Донецька,Вугледарська,Програма ООН із відновлення та розбудови миру (UN RPP),Навчання загального управлінського характеру,2
Донецька,Великоновосілківська,Програма ООН із відновлення та розбудови миру (UN RPP),Навчання загального управлінського характеру,4
Донецька,Курахівська,Програма ООН із відновлення та розбудови миру (UN RPP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Донецька,Бахмутська,Програма ООН із відновлення та розбудови миру (UN RPP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Донецька,Великоновосілківська,Програма ООН із відновлення та розбудови миру (UN RPP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Донецька,Волноваська,Програма ООН із відновлення та розбудови миру (UN RPP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Донецька,Вугледарська,Програма ООН із відновлення та розбудови миру (UN RPP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Донецька,Добропільська,Програма ООН із відновлення та розбудови миру (UN RPP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Донецька,Дружківська,Програма ООН із відновлення та розбудови миру (UN RPP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Донецька,Званівська,Програма ООН із відновлення та розбудови миру (UN RPP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Донецька,Костянтинівська,Програма ООН із відновлення та розбудови миру (UN RPP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Донецька,Краматорська,Програма ООН із відновлення та розбудови миру (UN RPP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Донецька,Лиманська,Програма ООН із відновлення та розбудови миру (UN RPP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Донецька,Маріупольська,Програма ООН із відновлення та розбудови миру (UN RPP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Донецька,Мар’їнська,Програма ООН із відновлення та розбудови миру (UN RPP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Донецька,Миколаївська,Програма ООН із відновлення та розбудови миру (UN RPP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Донецька,Мирненська,Програма ООН із відновлення та розбудови миру (UN RPP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Донецька,Мирноградська,Програма ООН із відновлення та розбудови миру (UN RPP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Донецька,Ольгинська,Програма ООН із відновлення та розбудови миру (UN RPP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Донецька,Очеретинська,Програма ООН із відновлення та розбудови миру (UN RPP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Донецька,Покровська,Програма ООН із відновлення та розбудови миру (UN RPP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Донецька,Сіверська,Програма ООН із відновлення та розбудови миру (UN RPP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Донецька,Соледарська,Програма ООН із відновлення та розбудови миру (UN RPP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Донецька,Торецька,Програма ООН із відновлення та розбудови миру (UN RPP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Донецька,Хлібодарівська,Програма ООН із відновлення та розбудови миру (UN RPP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Донецька,Авдіївська,Програма ООН із відновлення та розбудови миру (UN RPP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Донецька,Волноваська,Програма ООН із відновлення та розбудови миру (UN RPP),Навчання загального управлінського характеру,1
Донецька,Добропільська,Програма ООН із відновлення та розбудови миру (UN RPP),Навчання загального управлінського характеру,1
Донецька,Дружківська,Програма ООН із відновлення та розбудови миру (UN RPP),Навчання загального управлінського характеру,1
Донецька,Званівська,Програма ООН із відновлення та розбудови миру (UN RPP),Навчання загального управлінського характеру,1
Донецька,Костянтинівська,Програма ООН із відновлення та розбудови миру (UN RPP),Навчання загального управлінського характеру,1
Донецька,Краматорська,Програма ООН із відновлення та розбудови миру (UN RPP),Навчання загального управлінського характеру,1
Донецька,Курахівська,Програма ООН із відновлення та розбудови миру (UN RPP),Навчання загального управлінського характеру,1
Донецька,Лиманська,Програма ООН із відновлення та розбудови миру (UN RPP),Навчання загального управлінського характеру,1
Донецька,Маріупольська,Програма ООН із відновлення та розбудови миру (UN RPP),Навчання загального управлінського характеру,1
Донецька,Мар’їнська,Програма ООН із відновлення та розбудови миру (UN RPP),Навчання загального управлінського характеру,1
Донецька,Миколаївська,Програма ООН із відновлення та розбудови миру (UN RPP),Навчання загального управлінського характеру,1
Донецька,Мирненська,Програма ООН із відновлення та розбудови миру (UN RPP),Навчання загального управлінського характеру,1
Донецька,Мирноградська,Програма ООН із відновлення та розбудови миру (UN RPP),Навчання загального управлінського характеру,1
Донецька,Ольгинська,Програма ООН із відновлення та розбудови миру (UN RPP),Навчання загального управлінського характеру,1
Донецька,Очеретинська,Програма ООН із відновлення та розбудови миру (UN RPP),Навчання загального управлінського характеру,1
Донецька,Покровська,Програма ООН із відновлення та розбудови миру (UN RPP),Навчання загального управлінського характеру,1
Донецька,Сіверська,Програма ООН із відновлення та розбудови миру (UN RPP),Навчання загального управлінського характеру,1
Донецька,Соледарська,Програма ООН із відновлення та розбудови миру (UN RPP),Навчання загального управлінського характеру,1
Донецька,Торецька,Програма ООН із відновлення та розбудови миру (UN RPP),Навчання загального управлінського характеру,1
Донецька,Хлібодарівська,Програма ООН із відновлення та розбудови миру (UN RPP),Навчання загального управлінського характеру,1
Донецька,Авдіївська,Програма ООН із відновлення та розбудови миру (UN RPP),Навчання загального управлінського характеру,1
Донецька,Бахмутська,Програма ООН із відновлення та розбудови миру (UN RPP),"Навчання з надання послуг і управління інфраструктурою на місцевому рівні, Навчання загального управлінського характеру",1
Донецька,Званівська,Програма ООН із відновлення та розбудови миру (UN RPP),"Навчання з надання послуг і управління інфраструктурою на місцевому рівні, Навчання загального управлінського характеру",1
Донецька,Сіверська,Програма ООН із відновлення та розбудови миру (UN RPP),"Навчання з надання послуг і управління інфраструктурою на місцевому рівні, Навчання загального управлінського характеру",1
Донецька,Соледарська,Програма ООН із відновлення та розбудови миру (UN RPP),"Навчання з надання послуг і управління інфраструктурою на місцевому рівні, Навчання загального управлінського характеру",1
Донецька,Торецька,Програма ООН із відновлення та розбудови миру (UN RPP),"Навчання з надання послуг і управління інфраструктурою на місцевому рівні, Навчання загального управлінського характеру",1
Донецька,Часовоярська,Програма ООН із відновлення та розбудови миру (UN RPP),"Навчання з надання послуг і управління інфраструктурою на місцевому рівні, Навчання загального управлінського характеру",1
Донецька,Великоновосілківська,Програма ООН із відновлення та розбудови миру (UN RPP),"Навчання з надання послуг і управління інфраструктурою на місцевому рівні, Навчання загального управлінського характеру",1
Донецька,Волноваська,Програма ООН із відновлення та розбудови миру (UN RPP),"Навчання з надання послуг і управління інфраструктурою на місцевому рівні, Навчання загального управлінського характеру",1
Донецька,Вугледарська,Програма ООН із відновлення та розбудови миру (UN RPP),"Навчання з надання послуг і управління інфраструктурою на місцевому рівні, Навчання загального управлінського характеру",1
Донецька,Ольгинська,Програма ООН із відновлення та розбудови миру (UN RPP),"Навчання з надання послуг і управління інфраструктурою на місцевому рівні, Навчання загального управлінського характеру",1
Донецька,Хлібодарівська,Програма ООН із відновлення та розбудови миру (UN RPP),"Навчання з надання послуг і управління інфраструктурою на місцевому рівні, Навчання загального управлінського характеру",1
Донецька,Дружківська,Програма ООН із відновлення та розбудови миру (UN RPP),"Навчання з надання послуг і управління інфраструктурою на місцевому рівні, Навчання загального управлінського характеру",1
Донецька,Краматорська,Програма ООН із відновлення та розбудови миру (UN RPP),"Навчання з надання послуг і управління інфраструктурою на місцевому рівні, Навчання загального управлінського характеру",1
Донецька,Лиманська,Програма ООН із відновлення та розбудови миру (UN RPP),"Навчання з надання послуг і управління інфраструктурою на місцевому рівні, Навчання загального управлінського характеру",1
Донецька,Новодонецька,Програма ООН із відновлення та розбудови миру (UN RPP),"Навчання з надання послуг і управління інфраструктурою на місцевому рівні, Навчання загального управлінського характеру",1
