Дата заповнення анкети,Програма/проєкт,Період,"""Громада з нуля""","""Навчання з надання послуг і управління інфраструктурою на місцевому рівні""","""Навчання загального управлінського характеру""",Кількість учасників навчання (осіб),"Область, для тергромад якої відбулося навчання",Цільові групи учасників навчання ,"Кількість тергромад, для яких було проведене навчання",Назва навчання
,Розробка курсу на зміцнення місцевого самоврядування в Україні (ПУЛЬС),4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,30,Житомирська,Посадові особи місцевого самоврядування,,"Життя громад після виборів: нові документи, інші правила, перші кроки у змінених статусах"
,Розробка курсу на зміцнення місцевого самоврядування в Україні (ПУЛЬС),4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,25,Закарпатська,Посадові особи місцевого самоврядування,,Організація діяльності органів місцевого самоврядування після місцевих виборів
,Розробка курсу на зміцнення місцевого самоврядування в Україні (ПУЛЬС),4 квартал 2020,Планування бюджету,,,30,Одеська,Посадові особи місцевого самоврядування,,Особливості формування місцевих бюджетів на 2021 рік. Підвищення ефективності управління фінансовими ресурсами та видатками місцевих бюджетів
,Розробка курсу на зміцнення місцевого самоврядування в Україні (ПУЛЬС),4 квартал 2020,,Охорона здоров'я,,20,Сумська,Посадові особи місцевого самоврядування,,Управлінський облік медичного закладу 
,Розробка курсу на зміцнення місцевого самоврядування в Україні (ПУЛЬС),4 квартал 2020,Планування бюджету,,,20,Луганська,Посадові особи місцевого самоврядування,,"Бюджет на 2021 рік: бюджетний процес на місцевому рівні, інновації"
,Розробка курсу на зміцнення місцевого самоврядування в Україні (ПУЛЬС),4 квартал 2020,Організація і проведення першої сесії Ради,,,25,Миколаївська,Посадові особи місцевого самоврядування,,"Нормативно-правове регулювання створення та організації діяльності територіальної громади: організація та проведення першої сесії сільської,  селищної, міської ради"
,Розробка курсу на зміцнення місцевого самоврядування в Україні (ПУЛЬС),4 квартал 2020,,Освіта,,25,Херсонська,Посадові особи місцевого самоврядування,,Формування та організація роботи системи освіти в громаді
,Розробка курсу на зміцнення місцевого самоврядування в Україні (ПУЛЬС),4 квартал 2020,Планування бюджету,,,30,Харківська,Посадові особи місцевого самоврядування,,Реформа децентралізації повноважень: особливості реалізації бюджетного процесу на рівні громади
,Розробка курсу на зміцнення місцевого самоврядування в Україні (ПУЛЬС),4 квартал 2020,,Освіта,,23,Сумська,Посадові особи місцевого самоврядування,,Управління освітою в умовах нового адміністративно-територіального устрою
,Розробка курсу на зміцнення місцевого самоврядування в Україні (ПУЛЬС),4 квартал 2020,,Соціальний захист,,20,Вінницька,Посадові особи місцевого самоврядування,,Законодавче забезпечення організації роботи органів місцевого самоврядування територіальних громад щодо впровадження базових соціальних послуг
,Розробка курсу на зміцнення місцевого самоврядування в Україні (ПУЛЬС),4 квартал 2020,,,Управління бюджетами і фінансами,27,Волинська,Посадові особи місцевого самоврядування,,Формування місцевих бюджетів на 2021 рік. Алгоритм підвищення ефективності управління фінансовими ресурсами громади
,Розробка курсу на зміцнення місцевого самоврядування в Україні (ПУЛЬС),4 квартал 2020,,,управління місцевим соціально-економічним розвитком,20,Дніпропетровська,Посадові особи місцевого самоврядування,,ДФРР – як інструмент розвитку громади
,Розробка курсу на зміцнення місцевого самоврядування в Україні (ПУЛЬС),4 квартал 2020,,,Управління бюджетами і фінансами,25,Черкаська,Посадові особи місцевого самоврядування,,Особливості формування місцевих бюджетів на 2021 рік. Проблеми управління фінансовими ресурсами та ревізій бюджету громади
,Розробка курсу на зміцнення місцевого самоврядування в Україні (ПУЛЬС),4 квартал 2020,,,"Просторове планування, містобудування та архітектура, управління земельними ресурсами",20,Хмельницька,Посадові особи місцевого самоврядування,,Інвентаризація земель як інструмент економічного розвитку громади. Актуальні питання застосування земельного законодавства органами місцевого самоврядування
,Розробка курсу на зміцнення місцевого самоврядування в Україні (ПУЛЬС),1 квартал 2021,,,Перерозподіл і управління власністю,56,Сумська,Посадові особи місцевого самоврядування,,Управління майном комунальної власності в умовах децентралізації
,Розробка курсу на зміцнення місцевого самоврядування в Україні (ПУЛЬС),1 квартал 2021,,Охорона здоров'я,,32,Вінницька,Посадові особи місцевого самоврядування,,Законодавче забезпечення організації медичної галузі в територіальних громадах 
,Розробка курсу на зміцнення місцевого самоврядування в Україні (ПУЛЬС),1 квартал 2021,,Створення виконкому,,20,Херсонська,Посадові особи місцевого самоврядування,,Структура виконавчих органів рад та функції управлінь і відділів гуманітарної сфери
,Розробка курсу на зміцнення місцевого самоврядування в Україні (ПУЛЬС),1 квартал 2021,,,Перерозподіл і управління власністю,20,Чернігівська,Посадові особи місцевого самоврядування,,Оренда комунального майна як функція повноважень територіальної громади
,Розробка курсу на зміцнення місцевого самоврядування в Україні (ПУЛЬС),1 квартал 2021,,Створення виконкому,,17,Волинська,Посадові особи місцевого самоврядування,,Організація роботи виконавчих органів місцевого самоврядування з питань фінансового планування комунальних підприємств територіальних громад
,Розробка курсу на зміцнення місцевого самоврядування в Україні (ПУЛЬС),1 квартал 2021,,,Управління земельними ресурсами,23,Херсонська,Посадові особи місцевого самоврядування,,Управління земельними ресурсами об'єднаної громади
,Розробка курсу на зміцнення місцевого самоврядування в Україні (ПУЛЬС),1 квартал 2021,,,Перерозподіл і управління власністю,25,Тернопільська,Посадові особи місцевого самоврядування,,"Особливості порядку оформлення територіальними громадами об'єктів комунальної власності та земельних ділянок сільськогосподарського призначення, переданих з державної власності"
,Розробка курсу на зміцнення місцевого самоврядування в Україні (ПУЛЬС),1 квартал 2021,,,Управління земельними ресурсами,42,Рівненська,Посадові особи місцевого самоврядування,,Практичні аспекти реалізації законодавства у сфері управління земельними ресурсами в умовах реорганізації громад
,Розробка курсу на зміцнення місцевого самоврядування в Україні (ПУЛЬС),1 квартал 2021,"Культура, молодь, спорт і дозвілля",,,32,Вінницька,Посадові особи місцевого самоврядування,,Забезпечення та виконання законодавства України в галузі культури для територіальних громад
,Розробка курсу на зміцнення місцевого самоврядування в Україні (ПУЛЬС),1 квартал 2021,Створення виконкому,,,32,Запорізька,Посадові особи місцевого самоврядування,,Вирішення кадрових питань органів місцевого самоврядування                                                         в умовах реорганізації громад та районів
,Розробка курсу на зміцнення місцевого самоврядування в Україні (ПУЛЬС),1 квартал 2021,,,Перерозподіл і управління власністю,20,Київська,Посадові особи місцевого самоврядування,,Проблематика передачі майна спільної власності від районних рад до територіальних громад
,Розробка курсу на зміцнення місцевого самоврядування в Україні (ПУЛЬС),1 квартал 2021,,Освіта,,23,Луганська,Посадові особи місцевого самоврядування,,Надання освітніх послуг в умовах реформування. Менеджмент орієнтації на покоління ХХІ століття
,Розробка курсу на зміцнення місцевого самоврядування в Україні (ПУЛЬС),1 квартал 2021,,,Управління місцевим соціально-економічним розвитком,25,Миколаївська,Посадові особи місцевого самоврядування,,"Як спланувати та забезпечити, збільшення ресурсів громади  на місцевий економічний розвиток"
,Розробка курсу на зміцнення місцевого самоврядування в Україні (ПУЛЬС),1 квартал 2021,,,Перерозподіл і управління власністю,27,Хмельницька,Посадові особи місцевого самоврядування,,Новації в законодавстві про оренду. Онлайн-аукціони: впровадження нових стандартів та прозорих процесів
,Розробка курсу на зміцнення місцевого самоврядування в Україні (ПУЛЬС),1 квартал 2021,,,Управління земельними ресурсами,18,Сумська,Посадові особи місцевого самоврядування,,Передача земель сільськогосподарського призначення державної власності до комунальної власності територіальних громад
,Розробка курсу на зміцнення місцевого самоврядування в Україні (ПУЛЬС),1 квартал 2021,,,Управління бюджетами і фінансами,57,Тернопільська,Посадові особи місцевого самоврядування,,Актуальні аспекти антикорупційного законодавства. Особливості електронного декларування - 2021. Організація роботи з викривачами 
,Розробка курсу на зміцнення місцевого самоврядування в Україні (ПУЛЬС),1 квартал 2021,,,Управління бюджетами і фінансами,64,Івано-Франківська,Посадові особи місцевого самоврядування,,Декларування та корупційні ризики в роботі посадових осіб місцевого самоврядування
,Розробка курсу на зміцнення місцевого самоврядування в Україні (ПУЛЬС),1 квартал 2021,,,Перерозподіл і управління власністю,69,Миколаївська,Посадові особи місцевого самоврядування,,Оренда державного та комунального майна через електронну торгову систему Prozorro. Продажі
,Розробка курсу на зміцнення місцевого самоврядування в Україні (ПУЛЬС),1 квартал 2021,,,Перерозподіл і управління власністю,25,Черкаська,Посадові особи місцевого самоврядування,,Способи управління об’єктами  державної і комунальної власності: оренда та приватизація
,Розробка курсу на зміцнення місцевого самоврядування в Україні (ПУЛЬС),1 квартал 2021,Організація і проведення першої сесії Ради,,,35,Полтавська,Посадові особи місцевого самоврядування,,Регламент – основа діяльності місцевої ради
,Розробка курсу на зміцнення місцевого самоврядування в Україні (ПУЛЬС),1 квартал 2021,,,Форми безпосередньої участі територіальної громади у здійснені місцевого самоврядування,23,Хмельницька,Посадові особи місцевого самоврядування,,Залучення ресурсів та написання грантових заявок
,Розробка курсу на зміцнення місцевого самоврядування в Україні (ПУЛЬС),1 квартал 2021,,Освіта,,20,Кіровоградська,Посадові особи місцевого самоврядування,,Освіта під час пандемії
,Розробка курсу на зміцнення місцевого самоврядування в Україні (ПУЛЬС),1 квартал 2021,,Соціальний захист,,25,Київська,Посадові особи місцевого самоврядування,,"Організація системи соціального захисту, надання соціальних послуг населенню в територіальних громадах"
,Розробка курсу на зміцнення місцевого самоврядування в Україні (ПУЛЬС),1 квартал 2021,,,Форми безпосередньої участі територіальної громади у здійснені місцевого самоврядування,17,Луганська,Посадові особи місцевого самоврядування,,Ефективні комунікації в громаді: застосування сучасних інформаційних технологій в роботі органів місцевого самоврядування
,Розробка курсу на зміцнення місцевого самоврядування в Україні (ПУЛЬС),1 квартал 2021,,,Перерозподіл і управління власністю,40,Харківська,Посадові особи місцевого самоврядування,,Актуальні питання передачі майна спільної власності від районних рад територіальним громадам
,Розробка курсу на зміцнення місцевого самоврядування в Україні (ПУЛЬС),1 квартал 2021,,Адміністративні послуги,,55,Черкаська,Посадові особи місцевого самоврядування,,Організація архівної справи та діловодства в органах місцевого самоврядування
,Розробка курсу на зміцнення місцевого самоврядування в Україні (ПУЛЬС),1 квартал 2021,,,Управління земельними ресурсами,23,Миколаївська,Посадові особи місцевого самоврядування,,Практичні аспекти реалізації законодавства у сфері управління земельними ресурсами в умовах реорганізації громад
,Розробка курсу на зміцнення місцевого самоврядування в Україні (ПУЛЬС),1 квартал 2021,,,Форми безпосередньої участі територіальної громади у здійснені місцевого самоврядування,24,Волинська,Посадові особи місцевого самоврядування,,"Взаємодія органів місцевого самоврядування з громадськістю. Інформаційна відкритість громад: цілі, завдання, інструменти"
,Розробка курсу на зміцнення місцевого самоврядування в Україні (ПУЛЬС),1 квартал 2021,,Освіта,,77,Вінницька,Посадові особи місцевого самоврядування,,Виконання змін у законодавстві України щодо організації освітньої галузі у територіальних громадах
,Розробка курсу на зміцнення місцевого самоврядування в Україні (ПУЛЬС),1 квартал 2021,,,Управління земельними ресурсами,30,Запорізька,Посадові особи місцевого самоврядування,,Проблемні питання відшкодування шкоди за користування земельними  ділянками без оформленні права власності і договорів оренди
,Розробка курсу на зміцнення місцевого самоврядування в Україні (ПУЛЬС),1 квартал 2021,,,Управління бюджетами і фінансами,20,Рівненська,Посадові особи місцевого самоврядування,,Система Prozorro. Здійснення публічних закупівель  в ОМС
