Область,Тергромада,Програма-проєкт МТД,Тематика,Кількість
Вінницька,Вінницька,"Програма ""U-LEAD з Європою""",Громада з нуля,4
Вінницька,Вінницька,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,8
Вінницька,Жмеринська,"Програма ""U-LEAD з Європою""",Громада з нуля,6
Вінницька,Жмеринська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,7
Вінницька,Могилів-Подільська,"Програма ""U-LEAD з Європою""",Громада з нуля,5
Вінницька,Козятинська,"Програма ""U-LEAD з Європою""",Громада з нуля,5
Вінницька,Ладижинська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Вінницька,Хмільницька,"Програма ""U-LEAD з Європою""",Громада з нуля,4
Вінницька,Хмільницька,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,19
Вінницька,Барська,"Програма ""U-LEAD з Європою""",Громада з нуля,8
Вінницька,Барська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,3
Вінницька,Барська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,8
Вінницька,Копайгородська,"Програма ""U-LEAD з Європою""",Громада з нуля,2
Вінницька,Копайгородська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,5
Вінницька,Бершадська,"Програма ""U-LEAD з Європою""",Громада з нуля,6
Вінницька,Джулинська,"Програма ""U-LEAD з Європою""",Громада з нуля,5
Вінницька,Джулинська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,8
Вінницька,Вороновицька,"Програма ""U-LEAD з Європою""",Громада з нуля,5
Вінницька,Вороновицька,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,9
Вінницька,Вороновицька,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Стрижавська,"Програма ""U-LEAD з Європою""",Громада з нуля,6
Вінницька,Агрономічна,"Програма ""U-LEAD з Європою""",Громада з нуля,2
Вінницька,Лука-Мелешківська,"Програма ""U-LEAD з Європою""",Громада з нуля,4
