Область,Тергромада,Програма-проєкт МТД,Тематика,Кількість
Волинська,Луцька,Проєкт ООН Жінки  «Просування гендерної рівності та розширення прав і можливостей жінок в рамках реформи децентралізації в Україні»,Навчання загального управлінського характеру,2
Волинська,Торчинська,Проєкт ООН Жінки  «Просування гендерної рівності та розширення прав і можливостей жінок в рамках реформи децентралізації в Україні»,Навчання загального управлінського характеру,2
Волинська,Велимченська,Проєкт ООН Жінки  «Просування гендерної рівності та розширення прав і можливостей жінок в рамках реформи децентралізації в Україні»,Навчання загального управлінського характеру,2
Сумська,Березівська,Проєкт ООН Жінки  «Просування гендерної рівності та розширення прав і можливостей жінок в рамках реформи децентралізації в Україні»,Навчання загального управлінського характеру,2
Сумська,Краснопільська,Проєкт ООН Жінки  «Просування гендерної рівності та розширення прав і можливостей жінок в рамках реформи децентралізації в Україні»,Навчання загального управлінського характеру,2
Сумська,Степанівська,Проєкт ООН Жінки  «Просування гендерної рівності та розширення прав і можливостей жінок в рамках реформи децентралізації в Україні»,Навчання загального управлінського характеру,2
Херсонська,Бехтерська,Проєкт ООН Жінки  «Просування гендерної рівності та розширення прав і можливостей жінок в рамках реформи децентралізації в Україні»,Навчання загального управлінського характеру,2
Херсонська,Костянтинівська,Проєкт ООН Жінки  «Просування гендерної рівності та розширення прав і можливостей жінок в рамках реформи децентралізації в Україні»,Навчання загального управлінського характеру,2
Херсонська,Зеленопідська,Проєкт ООН Жінки  «Просування гендерної рівності та розширення прав і можливостей жінок в рамках реформи децентралізації в Україні»,Навчання загального управлінського характеру,2
Херсонська,Виноградівська,Проєкт ООН Жінки  «Просування гендерної рівності та розширення прав і можливостей жінок в рамках реформи децентралізації в Україні»,Навчання загального управлінського характеру,2
Чернівецька,Вижницька,Проєкт ООН Жінки  «Просування гендерної рівності та розширення прав і можливостей жінок в рамках реформи децентралізації в Україні»,Навчання загального управлінського характеру,2
Чернівецька,Новоселицька,Проєкт ООН Жінки  «Просування гендерної рівності та розширення прав і можливостей жінок в рамках реформи децентралізації в Україні»,Навчання загального управлінського характеру,2
Чернівецька,Недобоївська,Проєкт ООН Жінки  «Просування гендерної рівності та розширення прав і можливостей жінок в рамках реформи децентралізації в Україні»,Навчання загального управлінського характеру,2
Херсонська,Виноградівська,Проєкт ООН Жінки  «Просування гендерної рівності та розширення прав і можливостей жінок в рамках реформи децентралізації в Україні»,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Херсонська,Зеленопідська,Проєкт ООН Жінки  «Просування гендерної рівності та розширення прав і можливостей жінок в рамках реформи децентралізації в Україні»,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Херсонська,Костянтинівська,Проєкт ООН Жінки  «Просування гендерної рівності та розширення прав і можливостей жінок в рамках реформи децентралізації в Україні»,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Сумська,Краснопільська,Проєкт ООН Жінки  «Просування гендерної рівності та розширення прав і можливостей жінок в рамках реформи децентралізації в Україні»,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Волинська,Луцька,Проєкт ООН Жінки  «Просування гендерної рівності та розширення прав і можливостей жінок в рамках реформи децентралізації в Україні»,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Чернівецька,Недобоївська,Проєкт ООН Жінки  «Просування гендерної рівності та розширення прав і можливостей жінок в рамках реформи децентралізації в Україні»,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Чернівецька,Новоселицька,Проєкт ООН Жінки  «Просування гендерної рівності та розширення прав і можливостей жінок в рамках реформи децентралізації в Україні»,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Сумська,Степанівська,Проєкт ООН Жінки  «Просування гендерної рівності та розширення прав і можливостей жінок в рамках реформи децентралізації в Україні»,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Волинська,Торчинська,Проєкт ООН Жінки  «Просування гендерної рівності та розширення прав і можливостей жінок в рамках реформи децентралізації в Україні»,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Сумська,Березівська,Проєкт ООН Жінки  «Просування гендерної рівності та розширення прав і можливостей жінок в рамках реформи децентралізації в Україні»,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Херсонська,Бехтерська,Проєкт ООН Жінки  «Просування гендерної рівності та розширення прав і можливостей жінок в рамках реформи децентралізації в Україні»,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Волинська,Велимченська,Проєкт ООН Жінки  «Просування гендерної рівності та розширення прав і можливостей жінок в рамках реформи децентралізації в Україні»,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Чернівецька,Вижницька,Проєкт ООН Жінки  «Просування гендерної рівності та розширення прав і можливостей жінок в рамках реформи децентралізації в Україні»,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
